Police Centre,Average Cases Per Year
Total,2068.8
Bukit Merah East NPC,85.4
Marina Bay NPC,119.2
Rochor NPC,99.6
Bukit Merah West NPC,58.8
Clementi NPC,50.4
Jurong East NPC,56.0
Queenstown NPC,60.4
Bishan NPC,34.4
Bukit Timah NPC,32.4
Kampong Java NPC,39.4
Orchard NPC,142.6
Toa Payoh NPC,52.2
Ang Mo Kio North NPC,36.2
Ang Mo Kio South NPC,39.4
Hougang NPC,66.6
Punggol NPC,27.0
Sembawang NPC,28.6
Sengkang NPC,56.6
Serangoon NPC,39.8
Yishun North NPC,55.0
Yishun South NPC,33.8
Bedok North NPC,63.4
Bedok South NPC,40.4
Changi NPC,38.2
Geylang NPC,133.4
Marine Parade NPC,40.8
Pasir Ris NPC,35.6
Tampines NPC,66.2
Bukit Batok NPC,51.8
Bukit Panjang NPC,41.0
Choa Chu Kang NPC,59.8
Jurong West NPC,73.4
Nanyang NPC,70.4
Woodlands East NPC,64.2
Woodlands West NPC,74.4
