Police Centre,Location,Postal Code,Address,Longitude,Latitude,geometry
 Ang Mo Kio North NPC,51Ang Mo Kio Ave 9 (S)569784,569784,51Ang Mo Kio Ave 9,103.845095080578,1.38500972217704,POINT (103.845095080578 1.38500972217704)
 Ang Mo Kio South NPC,81 Ang Mo Kio Ave 3 (S)569929,569929,81 Ang Mo Kio Ave 3,103.851710804038,1.36991909998483,POINT (103.851710804038 1.36991909998483)
 Bedok North NPC,30 Bedok North Road (S)469676,469676,30 Bedok North Road,103.937061569944,1.33270940925776,POINT (103.937061569944 1.33270940925776)
 Bedok South NPC,20 Chai Chee Drive (S)469045,469045,20 Chai Chee Drive,103.919815720099,1.32370925084634,POINT (103.919815720099 1.32370925084634)
 Bishan NPC,20 Bishan St 23 (S)579757,579757,20 Bishan St 23,103.847715258603,1.3578020542365,POINT (103.847715258603 1.3578020542365)
 Bukit Batok NPC,21 Bukit Batok East Ave 4 (S)659840,659840,21 Bukit Batok East Ave 4,103.758531000555,1.34908664466116,POINT (103.758531000555 1.34908664466116)
 Bukit Merah East NPC,"391,New Bridge Road, (S)088762",088762,"391,New Bridge Road,",103.839416185126,1.27848261105879,POINT (103.839416185126 1.27848261105879)
 Bukit Merah West NPC,500 Bukit Merah View#01-01 (S)159682,159682,500 Bukit Merah View#01-01,103.823400103779,1.28560832622487,POINT (103.823400103779 1.28560832622487)
 Bukit Panjang NPC,42 Fajar Road (S)679005,679005,42 Fajar Road,103.771719585228,1.38688900135977,POINT (103.771719585228 1.38688900135977)
 Bukit Timah NPC,1 Duke’s Rd (S)268914,268914,1 Duke’s Rd,103.81244397433,1.32265899000256,POINT (103.81244397433 1.32265899000256)
 Changi NPC,9 Simei St 2 (S)529914,529914,9 Simei St 2,103.954802679169,1.34452666627361,POINT (103.954802679169 1.34452666627361)
 Choa Chu Kang NPC,20 Choa Chu Kang St 52 #01-02 (S)689286,689286,20 Choa Chu Kang St 52 #01-02,103.744971294739,1.39480564592114,POINT (103.744971294739 1.39480564592114)
 Clementi NPC,20 Clementi Ave 5(S)149725,149725,20 Clementi Ave ,103.766555843795,1.31717214095503,POINT (103.766555843795 1.31717214095503)
 Geylang NPC,132 Paya Lebar Road (S)401094,401094,132 Paya Lebar Road,103.886144303455,1.31096539761541,POINT (103.886144303455 1.31096539761541)
 Hougang NPC,60 Hougang Ave 9 (S)538775,538775,60 Hougang Ave 9,103.884983989451,1.37425555773368,POINT (103.884983989451 1.37425555773368)
 Jurong East NPC,"92 Boon Lay Way,(S)609962",609962,92 Boon Lay Way,103.737230755516,1.34013271672641,POINT (103.737230755516 1.34013271672641)
 Jurong West NPC,"700 Corporation Road, (S)649818",649818,"700 Corporation Road,",103.714522612582,1.34932652839146,POINT (103.714522612582 1.34932652839146)
 Kampong Java NPC,21 Kg Java Rd (S)228892,228892,21 Kg Java Rd,103.846482122063,1.31204343396145,POINT (103.846482122063 1.31204343396145)
 Marine Parade NPC,300 Marine Parade Road (S)449296,449296,300 Marine Parade Road,103.914451373301,1.30622307033044,POINT (103.914451373301 1.30622307033044)
 Nanyang NPC,2 Jurong West Ave 5 (S)649482,649482,2 Jurong West Ave 5,103.702111120107,1.35088682996153,POINT (103.702111120107 1.35088682996153)
 Orchard NPC,51 Killiney Rd (S)239572,239572,51 Killiney Rd,103.839835303521,1.29897844225137,POINT (103.839835303521 1.29897844225137)
 Pasir Ris NPC,1 Pasir Ris Drive 4 #01-01 (S)519457,519457,1 Pasir Ris Drive 4 #01-01,103.95959700809,1.36835631097194,POINT (103.95959700809 1.36835631097194)
 Queenstown NPC,15 Commonwealth Avenue (former Queenstown Test Centre) (S)149725,149725,15 Commonwealth Avenue (former Queenstown Test Centre),103.802829527538,1.28842657948271,POINT (103.802829527538 1.28842657948271)
 Rochor NPC,"11 Kampong Kapor Rd, (S)208678",208678,"11 Kampong Kapor Rd,",103.854218906775,1.30761941443084,POINT (103.854218906775 1.30761941443084)
 Sembawang NPC,4 Sembawang Cresent (S)757633,757633,4 Sembawang Cresent,103.819697009881,1.44529527686161,POINT (103.819697009881 1.44529527686161)
 Serangoon NPC,50 Serangoon Ave 2 #01-02 (S)556129,556129,50 Serangoon Ave 2 #01-02,103.870532534129,1.35201826420361,POINT (103.870532534129 1.35201826420361)
 Tampines NPC,6 Tampines Ave 4 (S)529682,529682,6 Tampines Ave 4,103.938708002361,1.34626377162627,POINT (103.938708002361 1.34626377162627)
 Toa Payoh NPC,"93, Toa Payoh Central, Toa Payoh Community Building #01-02,(S)319194",319194,"93, Toa Payoh Central, Toa Payoh Community Building #01-02",103.850467030457,1.33462578879451,POINT (103.850467030457 1.33462578879451)
 Woodlands East NPC,3 Woodlands Drive 63 (S)737890,737890,3 Woodlands Drive 63,103.802386612865,1.43884664493597,POINT (103.802386612865 1.43884664493597)
 Yishun North NPC,31 Yishun Central (S)768827,768827,31 Yishun Central,103.840294120388,1.42934280757928,POINT (103.840294120388 1.42934280757928)
 Yishun South NPC,32 Yishun Street 81 (S)768456,768456,32 Yishun Street 81,103.834906864604,1.415317847852,POINT (103.834906864604 1.415317847852)
